Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","19481","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","221","Almonds, with shell","2016","2016","hg/ha","16859","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2016","2016","tonnes","32843","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2016","2016","ha","21786","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2016","2016","hg/ha","6434","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2016","2016","tonnes","14018","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","515","Apples","2016","2016","ha","19365","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","515","Apples","2016","2016","hg/ha","72762","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","526","Apricots","2016","2016","ha","8595","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","526","Apricots","2016","2016","hg/ha","20819","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2016","2016","tonnes","17894","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2016","2016","ha","219208","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","44","Barley","2016","2016","hg/ha","13770","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2016","2016","tonnes","301856","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","558","Berries nes","2016","2016","ha","3800","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","558","Berries nes","2016","2016","hg/ha","63103","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2016","2016","tonnes","23979","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","569","Figs","2016","2016","ha","811","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","569","Figs","2016","2016","hg/ha","38755","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2016","2016","tonnes","3143","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2016","2016","ha","1662","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","512","Fruit, citrus nes","2016","2016","hg/ha","105125","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","17472","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2016","2016","ha","7262","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","619","Fruit, fresh nes","2016","2016","hg/ha","78961","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2016","2016","tonnes","57344","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2016","2016","ha","7319","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","541","Fruit, stone nes","2016","2016","hg/ha","70096","Fc","Calculated data"
